instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k
47,22185,37,1,3600.258,3600.057,10.653,11.714285714285715,1.0e20,9.146224956883172e6,2.5023095635492407e7,4,15,0.1,5
48,22502,33,1,3600.01,3600.04,9.569,12.0,1.0e20,1.0967282314771332e7,2.8681813747033477e7,4,15,0.1,5
49,21747,31,1,3600.236,3600.052,10.122,12.363636363636363,1.0e20,8.227026670528842e6,2.6387892003404636e7,4,15,0.1,5
4,21949,33,1,3600.218,3600.036,10.275,12.899999999999999,1.0e20,1.048165569894963e7,3.025155404959948e7,4,15,0.1,5
50,23655,31,1,3600.226,3600.025,10.128,12.285714285714286,2.511804342779971e7,9.640322897634884e6,2.5118043427799705e7,4,15,0.1,5
5,20886,34,1,3600.099,3600.047,11.258,12.333333333333332,1.0e20,9.186835571283462e6,2.395334501068777e7,4,15,0.1,5
6,21833,34,1,3600.027,3600.071,11.568,12.272727272727272,1.0e20,1.0645693661642242e7,2.7509778545525823e7,4,15,0.1,5
7,22948,34,1,3600.256,3600.057,10.173,10.000000000000018,1.0e20,6.720476027231847e6,1.7845034406448152e7,4,15,0.1,5
8,23464,34,1,3600.014,3600.039,10.091,10.0,1.0e20,7.53391686435674e6,1.8889502087094273e7,4,15,0.1,5
9,20479,28,1,3600.21,3600.032,9.914,14.666666666666666,1.0e20,1.0284389117113357e7,3.3337186985151194e7,4,15,0.1,5
21,2,1,1,0.28,2.273,10.013,0.0,7247.621393697333,7247.621393697333,7247.621393697333,4,15,0.3,1
44,2,1,1,0.345,2.59,12.15,0.0,10569.368296311355,10569.368296311355,10569.368296311353,4,15,0.3,1
50,2,1,1,0.241,2.022,9.766,0.0,3797.2545888069444,3797.2545888069444,3797.2545888069444,4,15,0.3,1
10,8,8,1,0.314,2.089,9.611,1.0000000002000036,1.4477943243833344e7,1.4477943243833344e7,1.4477943243833344e7,4,15,0.3,1
11,11,10,1,0.331,2.093,8.955,0.7499999999999964,2.7385485591308113e7,2.7385485591308113e7,2.738548559130811e7,4,15,0.3,1
12,5,4,1,0.305,2.058,9.93,1.0,2.7974154201071758e7,2.7974154201071758e7,2.7974154201071758e7,4,15,0.3,1
13,6,6,1,0.281,2.151,10.01,2.0,1.8230847115207665e7,1.8230847115207665e7,1.8230847115207665e7,4,15,0.3,1
14,11,9,1,0.366,2.075,9.426,3.0,2.8945220755180188e7,2.8945220755180188e7,2.8945220755180184e7,4,15,0.3,1
15,12,11,1,0.434,2.206,9.693,1.0,2.926663275729001e7,2.926663275729001e7,2.9266632757290013e7,4,15,0.3,1
16,4,3,1,0.277,2.01,9.344,4.0,1.2210600031979885e7,1.2210600031979885e7,1.2210600031979885e7,4,15,0.3,1
17,8,6,1,0.313,1.958,9.09,3.0,1.8395344065670405e7,1.8395344065670405e7,1.8395344065670405e7,4,15,0.3,1
18,6,5,1,0.29,1.951,9.091,2.0,2.8187512054632127e7,2.8187512054632127e7,2.8187512054632135e7,4,15,0.3,1
19,6,5,1,0.323,2.143,10.037,2.0,1.810571910123508e7,1.810571910123508e7,1.810571910123508e7,4,15,0.3,1
1,7,4,1,0.309,2.045,9.343,2.0,9.234499040999707e6,9.234499040999707e6,9.234499040999707e6,4,15,0.3,1
20,4,5,1,0.272,2.029,9.402,6.0,1.8186722944160674e7,1.8186722944160674e7,1.8186722944160677e7,4,15,0.3,1
22,4,6,1,0.316,2.13,9.872,1.0000000002000036,7.972141519279096e6,7.972141519279096e6,7.972141519279095e6,4,15,0.3,1
23,7,4,1,0.329,2.092,9.865,9.0,1.5304821958781965e7,1.5304821958781965e7,1.5304821958781965e7,4,15,0.3,1
24,10,8,1,0.387,2.472,11.304,1.0,2.0260176902929068e7,2.0260176902929068e7,2.0260176902929064e7,4,15,0.3,1
25,4,3,1,0.348,2.335,10.52,6.0,8.87532151716363e6,8.87532151716363e6,8.875321517163634e6,4,15,0.3,1
26,9,7,1,0.374,2.471,10.581,3.6666666666666643,2.4729015353611823e7,2.4729015353611823e7,2.4729015353611823e7,4,15,0.3,1
27,9,8,1,0.409,2.646,11.59,1.0,2.4148013118931487e7,2.4148013118931487e7,2.4148013118931487e7,4,15,0.3,1
28,7,7,1,0.446,2.561,11.884,2.0,1.8326783039098427e7,1.8326783039098427e7,1.8326783039098423e7,4,15,0.3,1
29,8,7,1,0.43,2.548,11.819,0.2727272727272734,1.9492209565335654e7,1.9492209565335654e7,1.9492209565335654e7,4,15,0.3,1
2,7,6,1,0.335,2.297,10.221,1.0,1.422743224781055e7,1.422743224781055e7,1.4227432247810552e7,4,15,0.3,1
30,3,5,1,0.251,2.09,9.503,8.0,9.097042781049583e6,9.097042781049583e6,9.097042781049587e6,4,15,0.3,1
31,7,4,1,0.403,2.666,11.566,1.0,2.25967744674044e7,2.25967744674044e7,2.2596774467404395e7,4,15,0.3,1
32,5,5,1,0.343,2.305,10.476,1.0,8.051071358171999e6,8.051071358171999e6,8.051071358171998e6,4,15,0.3,1
33,7,6,1,0.303,2.261,10.106,2.0,1.789519738913332e7,1.789519738913332e7,1.7895197389133327e7,4,15,0.3,1
34,8,5,1,0.288,2.054,9.516,2.0,2.163004157253544e7,2.163004157253544e7,2.1630041572535444e7,4,15,0.3,1
35,7,5,1,0.344,2.04,9.557,1.7142857142857153,1.2997843404006224e7,1.2997843404006224e7,1.2997843404006224e7,4,15,0.3,1
36,8,6,1,0.313,1.966,9.189,3.0,3.5835694566518135e7,3.5835694566518135e7,3.583569456651814e7,4,15,0.3,1
37,4,4,1,0.275,1.926,9.111,1.0,9.695148604974702e6,9.695148604974702e6,9.695148604974706e6,4,15,0.3,1
38,8,7,1,0.291,2.064,9.412,1.7777777777777837,2.603801534393025e7,2.603801534393025e7,2.603801534393025e7,4,15,0.3,1
39,9,8,1,0.316,1.94,8.937,2.0,2.460281946684476e7,2.460281946684476e7,2.4602819466844752e7,4,15,0.3,1
3,6,6,1,0.364,2.026,8.844,3.0,1.9834949581853136e7,1.9834949581853136e7,1.9834949581853136e7,4,15,0.3,1
40,8,7,1,0.287,2.154,9.827,1.0,1.4502977028812416e7,1.4502977028812416e7,1.4502977028812416e7,4,15,0.3,1
41,6,7,1,0.278,2.156,9.889,2.0,2.189355639047259e7,2.189355639047259e7,2.1893556390472595e7,4,15,0.3,1
42,8,7,1,0.319,2.035,9.369,1.0,1.9378255439534526e7,1.9378255439534526e7,1.937825543953453e7,4,15,0.3,1
43,4,2,1,0.281,1.975,9.425,14.0,3.8027453903671773e6,3.8027453903671773e6,3.8027453903671782e6,4,15,0.3,1
45,5,5,1,0.282,1.954,9.063,3.0,5.096363451178011e6,5.096363451178011e6,5.096363451178011e6,4,15,0.3,1
46,6,4,1,0.29,1.927,9.097,1.0,1.5404580289430872e7,1.5404580289430872e7,1.540458028943087e7,4,15,0.3,1
47,6,7,1,0.351,2.213,9.98,1.0,1.893760322512148e7,1.893760322512148e7,1.893760322512148e7,4,15,0.3,1
48,5,5,1,0.294,2.042,9.352,3.0,9.247789669235218e6,9.247789669235218e6,9.247789669235218e6,4,15,0.3,1
49,8,6,1,0.319,2.03,9.323,4.0,1.9117630565408e7,1.9117630565408e7,1.9117630565408e7,4,15,0.3,1
4,5,3,1,0.337,2.285,10.517,7.0,2.08587016796359e7,2.08587016796359e7,2.08587016796359e7,4,15,0.3,1
5,6,6,1,0.348,2.228,10.176,3.000000000400007,1.4191191269641835e7,1.4191191269641835e7,1.4191191269641837e7,4,15,0.3,1
