instance,it_bb,it_box,p_true_pb,runtime_bb,runtime_box,runtime_pb,zeta_box,θ_bb,θ_box,θ_pb,n,m,pc,k,obs_pb,obs_bb,obs_box
40,22651,51,1,3600.116,3600.049,12.147,11.22222222222222,1.0e20,1.247891512358447e7,2.7158420178254947e7,6,15,0.1,4,8.319366592689514e6,6.7588505547943115e6,6.669792735847473e6
41,24223,49,1,3600.004,3600.051,9.127,8.374999999999998,1.0e20,1.1985217868184827e7,2.586153444009582e7,6,15,0.1,4,9.461942981769562e6,6.453936385492325e6,8.2006970421619415e6
42,25475,55,1,3600.328,3600.046,10.011,7.714285714285715,1.6022796195484828e7,1.0433865398192547e7,1.602279619548483e7,6,15,0.1,4,9.9369251814003e6,8.861956978899002e6,6.612499671115875e6
43,26996,53,1,3600.208,3600.045,8.855,9.7,1.0e20,1.3187081610563286e7,2.871521491316098e7,6,15,0.1,4,1.0106034705526352e7,8.197821920295715e6,7.891545272130966e6
44,23228,45,1,3600.001,3600.067,9.006,13.214285714285714,1.540505909168707e7,1.5283588379924033e7,3.418232365531821e7,6,15,0.1,4,1.1783237959688187e7,8.345221264249802e6,8.302937476552963e6
45,27820,48,1,3600.065,3600.045,8.72,8.666666666666668,2.05557837048679e7,1.1041841783474803e7,2.05557837048679e7,6,15,0.1,4,1.0102166340522766e7,1.010124823969841e7,7.614085240823746e6
46,19672,49,1,3600.003,3600.056,9.219,10.0,1.7596310631380502e7,8.90312384034981e6,1.7596310631380502e7,6,15,0.1,4,5.446729568645477e6,5.02894923768425e6,4.680263629175186e6
47,23076,44,1,3600.063,3600.048,9.341,9.777777777777771,1.0e20,1.2519909750822427e7,2.7795420496962033e7,6,15,0.1,4,8.49953990032196e6,7.148785655879974e6,7.467442916500092e6
48,25154,38,1,3600.081,3600.037,9.36,8.500000000000002,2.1340838377161283e7,1.0903295886063443e7,2.134083837716128e7,6,15,0.1,4,9.627450737369537e6,9.625853208936691e6,7.224676762952805e6
49,28078,48,1,3600.104,3600.041,9.154,12.5,1.0e20,1.2812642116017992e7,2.588383326781628e7,6,15,0.1,4,9.059502671924591e6,6.927109995197296e6,7.012264079385757e6
4,23475,56,1,3600.069,3600.04,9.534,9.5,1.0e20,1.1591560648634795e7,2.583875041514038e7,6,15,0.1,4,8.331539043823242e6,6.765043300443649e6,7.759776434301376e6
50,24814,43,1,3600.144,3600.032,9.167,10.571428572585717,2.6581637507969927e7,1.2106783449838601e7,2.6581637507969927e7,6,15,0.1,4,8.42217980682373e6,8.421777485435486e6,6.625921074209213e6
5,24482,53,1,3600.141,3600.037,9.494,11.0,1.0e20,1.2465660105127273e7,2.541415416863778e7,6,15,0.1,4,9.560989027259827e6,8.432868738012314e6,7.807111371379852e6
6,22867,44,1,3600.183,3600.052,10.593,11.8,1.0e20,1.4638548816650664e7,3.1656117300856058e7,6,15,0.1,4,1.0354365213294983e7,8.43823772984314e6,8.928311146343231e6
7,23742,51,1,3600.024,3600.043,9.838,10.916666666666666,1.0e20,1.3027889339779973e7,2.7626037794951245e7,6,15,0.1,4,9.322074016584396e6,7.302862860286713e6,6.796958631900787e6
8,25863,50,1,3600.118,3600.035,8.992,13.714285714285715,2.22539708650775e7,1.2493797339845438e7,2.2253970865077503e7,6,15,0.1,4,8.979855301322937e6,7.843290704219818e6,8.104237119558334e6
9,22875,51,1,3600.119,3600.034,9.529,11.75,1.0e20,1.4779987041235544e7,3.2106452312887195e7,6,15,0.1,4,9.68319581432724e6,8.997365463529587e6,8.89488200235939e6
10,22431,30,1,3600.142,3600.075,8.881,14.0,1.0e20,1.1871706781289719e7,3.3287936925909467e7,6,15,0.1,5,1.089229554193306e7,8.551397955732346e6,9.407561250225067e6
11,21213,32,1,3600.018,3600.029,8.996,13.5,1.0e20,9.852791636307409e6,2.9098826130792823e7,6,15,0.1,5,8.248901047000885e6,6.167210180772781e6,6.572175527961731e6
12,23415,37,1,3600.036,3600.026,9.042,11.99999999999997,1.0e20,1.0518866926689534e7,3.0441740968387894e7,6,15,0.1,5,9.033733658042908e6,8.2012001366939545e6,7.626111087770462e6
13,24894,33,1,3600.047,3600.032,8.8,11.555555555555555,2.803705211478801e7,1.0529828374301184e7,2.803705211478801e7,6,15,0.1,5,1.1141771235200882e7,1.1141091014789581e7,9.551484457767487e6
14,24059,32,1,3600.055,3600.033,8.897,10.0,1.0e20,5.94064197601263e6,1.6633135277606886e7,6,15,0.1,5,4.851534282833099e6,4.0365527592811584e6,4.0410715240478516e6
15,24381,33,1,3600.04,3600.045,8.98,12.583333333333332,2.4953311306733858e7,9.342791500508385e6,2.4953311306733858e7,6,15,0.1,5,9.46555859693718e6,9.464737767101288e6,7.868599712377548e6
16,22263,36,1,3600.069,3600.026,8.821,13.88888888888889,1.0e20,1.1036423851655507e7,2.9530095693805426e7,6,15,0.1,5,9.401361009277344e6,7.842010693313599e6,7.844558038064957e6
17,19064,31,1,3600.175,3600.033,8.816,12.899999999999999,1.0e20,8.3772628295700075e6,2.4583874393952508e7,6,15,0.1,5,7.19343190389061e6,5.602403790664673e6,5.647164914417267e6
18,20756,26,1,3600.22,3600.038,9.558,12.0,1.0e20,9.313991047045065e6,2.6445532054547872e7,6,15,0.1,5,8.049010644235611e6,6.632862393421173e6,6.699001452638626e6
19,20501,31,1,3600.267,3600.043,9.652,11.600000000000001,1.0e20,8.548817829699084e6,2.2759037933077414e7,6,15,0.1,5,7.882623714584351e6,6.48579580109787e6,6.060410691539764e6
1,16185,35,1,3600.021,3600.032,13.17,10.461538461538433,1.0e20,8.35466496531464e6,2.3351134324790318e7,6,15,0.1,5,7.952005453317642e6,6.3773835933532715e6,6.2860893567790985e6
20,20696,36,1,3600.226,3600.036,9.592,9.166666667683337,1.0e20,7.823430709883104e6,2.246365348923435e7,6,15,0.1,5,7.487991901176453e6,6.763633115888596e6,6.336162562072754e6
21,19140,35,1,3600.216,3600.051,12.108,12.600000000000001,1.0e20,9.730897325043608e6,2.5910723728203204e7,6,15,0.1,5,8.033667818468094e6,6.587619817520142e6,6.926417660331726e6
22,20338,37,1,3600.057,3600.027,12.334,12.000000000000004,1.0e20,1.002778633973829e7,2.7482679812963687e7,6,15,0.1,5,7.923198736005783e6,6.423446712896347e6,6.361372341033936e6
23,21528,36,1,3600.053,3600.057,9.027,13.5,1.0e20,1.1520803275767157e7,3.379328639377668e7,6,15,0.1,5,1.0240567654745102e7,7.426018734279633e6,8.0236747709236145e6
24,24158,26,1,3600.188,3600.167,9.47,11.0,1.0e20,8.8881903504499e6,2.6036994374744084e7,6,15,0.1,5,1.026483396470642e7,8.98893495608139e6,8.482356528470993e6
25,21305,33,1,3600.218,3600.043,9.219,12.2,1.0e20,1.186971363603379e7,3.497370958451249e7,6,15,0.1,5,1.0480489298069e7,7.705751188461304e6,7.767049673807144e6
26,20807,36,1,3600.009,3600.034,9.79,11.0,1.0e20,1.124395515427295e7,3.1259846498918112e7,6,15,0.1,5,9.266939824264526e6,7.140141719497681e6,7.847550415857315e6
27,24117,27,1,3600.13,3600.031,8.848,11.8,2.535971710658814e7,9.928812622049242e6,2.535971710658814e7,6,15,0.1,5,9.450226197065353e6,9.449998359790802e6,7.060643663820267e6
28,22066,32,1,3600.101,3600.031,11.666,13.833333333333336,1.0e20,9.483785084355272e6,3.1216015895240836e7,6,15,0.1,5,8.693296965240479e6,7.906145019611359e6,8.43058214162445e6
29,21304,35,1,3600.206,3600.029,11.433,12.000000000000012,1.0e20,9.682680015261132e6,2.7836254361370802e7,6,15,0.1,5,1.1002777447795868e7,7.374395018709183e6,7.557901524076462e6
2,18587,34,1,3600.15,3600.051,12.291,14.399999999999999,1.0e20,1.1320298430122064e7,3.444086816692805e7,6,15,0.1,5,1.0116008372888565e7,7.991187941385269e6,8.082286978500366e6
30,24271,31,1,3600.111,3600.046,8.959,12.777777777777779,1.0e20,1.1528125360472474e7,3.3188233158423387e7,6,15,0.1,5,1.026116956537056e7,7.958260247085571e6,8.248960850910187e6
31,21320,33,1,3600.176,3600.038,8.916,11.857142858428572,1.0e20,1.0251149908201966e7,2.9316757006741874e7,6,15,0.1,5,9.368947452806473e6,7.773036016881943e6,6.695272310186386e6
32,23557,34,1,3600.076,3600.122,9.742,12.100000000000001,1.821316763919606e7,8.280007506227408e6,1.8213167639196064e7,6,15,0.1,5,1.0762901536561966e7,1.076149548157692e7,7.275548303964615e6
33,22001,43,1,3600.089,3600.032,10.303,9.25,1.0e20,7.937963503809312e6,2.080471118482265e7,6,15,0.1,5,6.735005111135483e6,5.754841299499512e6,5.673184583389282e6
34,18699,28,1,3600.232,3600.031,10.935,13.375,1.0e20,9.692983489416597e6,3.159450131934908e7,6,15,0.1,5,9.063242943489075e6,7.429659880084991e6,7.140863516983032e6
35,24435,33,1,3600.141,3600.03,9.049,10.888889777630084,1.0e20,7.377573201834202e6,2.0342804512396026e7,6,15,0.1,5,7.489014215362549e6,6.328505898662567e6,5.450092202968597e6
36,22968,34,1,3600.125,3600.028,8.932,10.0,1.9126304783202097e7,8.07592114031171e6,1.9126304783202093e7,6,15,0.1,5,8.60711802756691e6,8.606607345521927e6,6.711513661401749e6
37,19749,33,1,3600.151,3600.029,9.066,15.11111111111111,1.0e20,1.211482864978636e7,3.713298633774028e7,6,15,0.1,5,1.0868782866090775e7,8.200746612672806e6,8.859089119068146e6
38,18707,31,1,3600.176,3600.026,10.151,15.777777777777779,1.0e20,1.3246764681969358e7,4.286844652230331e7,6,15,0.1,5,1.1560300617444992e7,9.741742758930206e6,8.830407035264969e6
39,22680,33,1,3600.055,3600.055,11.072,11.857142857142858,1.0e20,1.0554541546757268e7,3.0760184424443565e7,6,15,0.1,5,1.055409534219551e7,1.00421233854599e7,7.427406365945816e6
3,21179,33,1,3600.028,3600.063,9.715,11.0,1.0e20,9.198647652603691e6,2.5073526950598143e7,6,15,0.1,5,7.812614286428452e6,6.239206316650391e6,6.285927820737839e6
40,20273,37,1,3600.231,3600.032,9.987,11.833333333333332,1.0e20,9.298319979484182e6,2.7158420178254947e7,6,15,0.1,5,8.319366592689514e6,7.0176451681957245e6,6.975765600160599e6
41,21655,29,1,3600.206,3600.05,10.833,9.7,1.0e20,8.579577664814347e6,2.586153444009582e7,6,15,0.1,5,9.461942981769562e6,6.723273327709198e6,6.562712485994339e6
42,22555,39,1,3600.226,3600.057,9.188,10.0,1.6022796195484828e7,8.570931157037629e6,1.602279619548483e7,6,15,0.1,5,9.9369251814003e6,8.86195697890091e6,8.695412304388046e6
43,22490,35,1,3600.115,3600.059,9.803,10.111111111111112,1.0e20,9.736829115248658e6,2.871521491316098e7,6,15,0.1,5,1.0106034705526352e7,7.116609426822662e6,7.242937041755676e6
44,18655,36,1,3600.171,3600.121,9.815,11.727272728545476,1.0e20,1.2366860549048197e7,3.418232365531821e7,6,15,0.1,5,1.1783237959688187e7,9.314440689065933e6,8.106772381889343e6
45,24557,36,1,3600.134,3600.027,9.132,10.0,2.05557837048679e7,8.575463727472488e6,2.05557837048679e7,6,15,0.1,5,1.0102166340522766e7,1.010124823969841e7,6.899541105052948e6
46,21696,36,1,3600.181,3600.039,9.464,9.666666666666668,1.7596310631380506e7,6.599074752328863e6,1.7596310631380502e7,6,15,0.1,5,5.446729568645477e6,5.446363924676895e6,5.009068826532364e6
47,17558,27,1,3600.141,3600.049,9.475,11.500000000000002,1.0e20,9.18899807723826e6,2.7795420496962033e7,6,15,0.1,5,8.49953990032196e6,7.267611020347595e6,6.445775034568787e6
48,22440,28,1,3600.03,3600.023,9.789,10.625,2.134083837716128e7,8.700998635944856e6,2.134083837716128e7,6,15,0.1,5,9.627450737369537e6,9.625853209899902e6,6.305091879581451e6
49,19929,32,1,3600.079,3600.081,10.025,13.142857142857144,1.0e20,8.412644254239652e6,2.588383326781628e7,6,15,0.1,5,9.059502671924591e6,6.775589484888077e6,7.119959139945984e6
4,24154,35,1,3600.156,3600.045,11.283,11.0,1.0e20,8.814645502702415e6,2.583875041514038e7,6,15,0.1,5,8.331539043823242e6,6.945316300107956e6,6.325206445650101e6
50,23199,32,1,3600.054,3600.051,9.12,11.625,2.6581637507969927e7,9.475076293182038e6,2.6581637507969927e7,6,15,0.1,5,8.42217980682373e6,8.42177748459816e6,6.7459698603954315e6
5,24613,34,1,3600.102,3600.07,8.845,14.0,1.0e20,8.230359464954397e6,2.541415416863778e7,6,15,0.1,5,9.560989027259827e6,7.263608863378525e6,8.23128318273735e6
6,21435,35,1,3600.018,3600.035,8.945,12.375,1.0e20,1.1663909021384459e7,3.1656117300856058e7,6,15,0.1,5,1.0354365213294983e7,8.016521747262955e6,7.93511077551651e6
7,17716,38,1,3600.271,3600.047,10.591,11.666666666666666,1.0e20,9.88360558985802e6,2.7626037794951245e7,6,15,0.1,5,9.322074016584396e6,7.528216044603348e6,7.190046615688324e6
8,24939,38,1,3600.023,3600.043,9.05,14.0,2.22539708650775e7,9.89126812055862e6,2.2253970865077503e7,6,15,0.1,5,8.979855301322937e6,7.8432904875507355e6,6.834220756141663e6
9,22237,38,1,3600.183,3600.024,8.899,11.11111111111111,1.0e20,1.1339563194235738e7,3.2106452312887195e7,6,15,0.1,5,9.68319581432724e6,7.520167761049271e6,7.69102739941597e6
10,7,5,1,0.33,2.321,10.729,3.0,2.8850271662396558e7,2.8850271662396558e7,2.8850271662396558e7,6,15,0.3,1,2.4185330980831146e7,2.4185330980831146e7,2.4185330980831146e7
20,12,9,1,0.358,2.05,9.437,0.7000000000000028,2.4584966723867588e7,2.4584966723867588e7,2.4584966723867588e7,6,15,0.3,1,1.9298944043670654e7,1.9298944043670654e7,1.9298944043670654e7
30,8,8,1,0.334,2.037,9.462,1.0,3.0542938962678343e7,3.0542938962678343e7,3.0542938962678354e7,6,15,0.3,1,2.4913991478658676e7,2.4913991478658676e7,2.4913991478658676e7
40,9,7,1,0.348,2.069,9.793,2.8333333333333357,3.7989469827869765e7,3.7989469827869765e7,3.7989469827869765e7,6,15,0.3,1,2.7201319461841583e7,2.7201319461841583e7,2.7201319461841583e7
